song_id,artist_id,artist,song,date,weeks_on_chart,peak_rank,additional_artists
1272848,183845,The Kid LAROI,Stay,2021-11-06,16,1,
1272848,183845,The Kid LAROI,Stay,2021-10-30,15,1,
1272848,183845,The Kid LAROI,Stay,2021-10-23,14,1,
1272848,183845,The Kid LAROI,Stay,2021-10-16,13,1,
1272848,183845,The Kid LAROI,Stay,2021-10-09,12,1,
1272848,183845,The Kid LAROI,Stay,2021-10-02,11,1,
1272848,183845,The Kid LAROI,Stay,2021-09-25,10,1,
1272848,183845,The Kid LAROI,Stay,2021-09-18,9,1,
1272848,183845,The Kid LAROI,Stay,2021-09-11,8,1,
1272848,183845,The Kid LAROI,Stay,2021-09-04,7,1,
1272848,183845,The Kid LAROI,Stay,2021-08-28,6,1,
1272848,183845,The Kid LAROI,Stay,2021-08-21,5,1,
1272848,183845,The Kid LAROI,Stay,2021-08-14,4,1,
1272848,183845,The Kid LAROI,Stay,2021-08-07,3,3,
1272848,183845,The Kid LAROI,Stay,2021-07-31,2,3,
1272848,183845,The Kid LAROI,Stay,2021-07-24,1,3,
1274683,168445,Lil Nas X,Industry Baby,2021-11-06,14,1,
1274683,168445,Lil Nas X,Industry Baby,2021-10-30,13,1,
1274683,168445,Lil Nas X,Industry Baby,2021-10-23,12,1,
1274683,168445,Lil Nas X,Industry Baby,2021-10-16,11,2,
1274683,168445,Lil Nas X,Industry Baby,2021-10-09,10,2,
1274683,168445,Lil Nas X,Industry Baby,2021-10-02,9,2,
1274683,168445,Lil Nas X,Industry Baby,2021-09-25,8,2,
1274683,168445,Lil Nas X,Industry Baby,2021-09-18,7,2,
1274683,168445,Lil Nas X,Industry Baby,2021-09-11,6,2,
1274683,168445,Lil Nas X,Industry Baby,2021-09-04,5,2,
1274683,168445,Lil Nas X,Industry Baby,2021-08-28,4,2,
1274683,168445,Lil Nas X,Industry Baby,2021-08-21,3,2,
1274683,168445,Lil Nas X,Industry Baby,2021-08-14,2,2,
1274683,168445,Lil Nas X,Industry Baby,2021-08-07,1,2,
1281326,104286,Drake,Way 2 Sexy,2021-11-06,8,1,
1281326,104286,Drake,Way 2 Sexy,2021-10-30,7,1,
1281326,104286,Drake,Way 2 Sexy,2021-10-23,6,1,
1281326,104286,Drake,Way 2 Sexy,2021-10-16,5,1,
1281326,104286,Drake,Way 2 Sexy,2021-10-09,4,1,
1281326,104286,Drake,Way 2 Sexy,2021-10-02,3,1,
1281326,104286,Drake,Way 2 Sexy,2021-09-25,2,1,
1281326,104286,Drake,Way 2 Sexy,2021-09-18,1,1,
1196234,139318,Dua Lipa,Levitating,2021-08-14,44,2,
1196234,139318,Dua Lipa,Levitating,2021-08-07,43,2,
1196234,139318,Dua Lipa,Levitating,2021-07-31,42,2,
1196234,139318,Dua Lipa,Levitating,2021-07-24,41,2,
1196234,139318,Dua Lipa,Levitating,2021-07-17,40,2,
1196234,139318,Dua Lipa,Levitating,2021-07-03,38,2,
1196234,139318,Dua Lipa,Levitating,2021-06-19,36,2,
1196234,139318,Dua Lipa,Levitating,2021-06-12,35,2,
1196234,139318,Dua Lipa,Levitating,2021-05-29,33,2,
1196234,139318,Dua Lipa,Levitating,2021-05-22,32,2,
1196234,139318,Dua Lipa,Levitating,2021-05-15,31,4,
1196234,139318,Dua Lipa,Levitating,2021-05-08,30,5,
1196234,139318,Dua Lipa,Levitating,2021-05-01,29,5,
1196234,139318,Dua Lipa,Levitating,2021-04-24,28,5,
1196234,139318,Dua Lipa,Levitating,2021-04-17,27,5,
1234012,131720,Wizkid,Essence,2021-11-06,17,9,
1234012,131720,Wizkid,Essence,2021-10-30,16,9,
1234012,131720,Wizkid,Essence,2021-10-23,15,9,
1234012,131720,Wizkid,Essence,2021-10-16,14,10,
1234012,131720,Wizkid,Essence,2021-10-09,13,11,
1234012,131720,Wizkid,Essence,2021-10-02,12,13,
1234012,131720,Wizkid,Essence,2021-09-25,11,13,
1234012,131720,Wizkid,Essence,2021-09-18,10,13,
1234012,131720,Wizkid,Essence,2021-09-11,9,13,
1234012,131720,Wizkid,Essence,2021-09-04,8,13,
1234012,131720,Wizkid,Essence,2021-08-28,7,16,
1234012,131720,Wizkid,Essence,2021-08-21,6,44,
1234012,131720,Wizkid,Essence,2021-08-14,5,54,
1234012,131720,Wizkid,Essence,2021-08-07,4,59,
1234012,131720,Wizkid,Essence,2021-07-31,3,67,
1234012,131720,Wizkid,Essence,2021-07-24,2,72,
1234012,131720,Wizkid,Essence,2021-07-17,1,82,
1257647,162423,Doja Cat,Kiss Me More,2021-11-06,29,3,
1257647,162423,Doja Cat,Kiss Me More,2021-10-30,28,3,
1257647,162423,Doja Cat,Kiss Me More,2021-10-23,27,3,
1257647,162423,Doja Cat,Kiss Me More,2021-10-16,26,3,
1257647,162423,Doja Cat,Kiss Me More,2021-10-09,25,3,
