Grass
4
Bulbasaur,Poison,318,45,49,49,65,65,45,1,False
Ivysaur,Poison,405,60,62,63,80,80,60,1,False
Venusaur,Poison,525,80,82,83,100,100,80,1,False
VenusaurMega Venusaur,Poison,625,80,100,123,122,120,80,1,False
Fire
5
Charmander,,309,39,52,43,60,50,65,1,False
Charmeleon,,405,58,64,58,80,65,80,1,False
Charizard,Flying,534,78,84,78,109,85,100,1,False
CharizardMega Charizard X,Dragon,634,78,130,111,130,85,100,1,False
CharizardMega Charizard Y,Flying,634,78,104,78,159,115,100,1,False
Water
4
Squirtle,,314,44,48,65,50,64,43,1,False
Wartortle,,405,59,63,80,65,80,58,1,False
Blastoise,,530,79,83,100,85,105,78,1,False
BlastoiseMega Blastoise,,630,79,103,120,135,115,78,1,False
Bug
7
Caterpie,,195,45,30,35,20,20,45,1,False
Metapod,,205,50,20,55,25,25,30,1,False
Butterfree,Flying,395,60,45,50,90,80,70,1,False
Weedle,Poison,195,40,35,30,20,20,50,1,False
Kakuna,Poison,205,45,25,50,25,25,35,1,False
Beedrill,Poison,395,65,90,40,45,80,75,1,False
BeedrillMega Beedrill,Poison,495,65,150,40,15,80,145,1,False
Normal
8
Pidgey,Flying,251,40,45,40,35,35,56,1,False
Pidgeotto,Flying,349,63,60,55,50,50,71,1,False
Pidgeot,Flying,479,83,80,75,70,70,101,1,False
PidgeotMega Pidgeot,Flying,579,83,80,80,135,80,121,1,False
Rattata,,253,30,56,35,25,35,72,1,False
Raticate,,413,55,81,60,50,70,97,1,False
Spearow,Flying,262,40,60,30,31,31,70,1,False
Fearow,Flying,442,65,90,65,61,61,100,1,False
Poison
2
Ekans,,288,35,60,44,40,54,55,1,False
Arbok,,438,60,85,69,65,79,80,1,False
Electric
2
Pikachu,,320,35,55,40,50,50,90,1,False
Raichu,,485,60,90,55,90,80,110,1,False
Ground
8
Sandshrew,,300,50,75,85,20,30,40,1,False
Sandslash,,450,75,100,110,45,55,65,1,False
Nidoran♀,,275,55,47,52,40,40,41,1,False
Nidorina,,365,70,62,67,55,55,56,1,False
Nidoqueen,Ground,505,90,92,87,75,85,76,1,False
Nidoran♂,,273,46,57,40,40,40,50,1,False
Nidorino,,365,61,72,57,55,55,65,1,False
Nidoking,Ground,505,81,102,77,85,75,85,1,False
Fairy
21
Clefairy,,323,70,45,48,60,65,35,1,False
Clefable,,483,95,70,73,95,90,60,1,False
Vulpix,,299,38,41,40,50,65,65,1,False
Ninetales,,505,73,76,75,81,100,100,1,False
Jigglypuff,Fairy,270,115,45,20,45,25,20,1,False
Wigglytuff,Fairy,435,140,70,45,85,50,45,1,False
Zubat,Flying,245,40,45,35,30,40,55,1,False
Golbat,Flying,455,75,80,70,65,75,90,1,False
Oddish,Poison,320,45,50,55,75,65,30,1,False
Gloom,Poison,395,60,65,70,85,75,40,1,False
Vileplume,Poison,490,75,80,85,110,90,50,1,False
Paras,Grass,285,35,70,55,45,55,25,1,False
Parasect,Grass,405,60,95,80,60,80,30,1,False
Venonat,Poison,305,60,55,50,40,55,45,1,False
Venomoth,Poison,450,70,65,60,90,75,90,1,False
Diglett,,265,10,55,25,35,45,95,1,False
Dugtrio,,405,35,80,50,50,70,120,1,False
Meowth,,290,40,45,35,40,40,90,1,False
Persian,,440,65,70,60,65,65,115,1,False
Psyduck,,320,50,52,48,65,50,55,1,False
Golduck,,500,80,82,78,95,80,85,1,False
Fighting
7
Mankey,,305,40,80,35,35,45,70,1,False
Primeape,,455,65,105,60,60,70,95,1,False
Growlithe,,350,55,70,45,70,50,60,1,False
Arcanine,,555,90,110,80,100,80,95,1,False
Poliwag,,300,40,50,40,40,40,90,1,False
Poliwhirl,,385,65,65,65,50,50,90,1,False
Poliwrath,Fighting,510,90,95,95,70,90,70,1,False
Psychic
12
Abra,,310,25,20,15,105,55,90,1,False
Kadabra,,400,40,35,30,120,70,105,1,False
Alakazam,,500,55,50,45,135,95,120,1,False
AlakazamMega Alakazam,,590,55,50,65,175,95,150,1,False
Machop,,305,70,80,50,35,35,35,1,False
Machoke,,405,80,100,70,50,60,45,1,False
Machamp,,505,90,130,80,65,85,55,1,False
Bellsprout,Poison,300,50,75,35,70,30,40,1,False
Weepinbell,Poison,390,65,90,50,85,45,55,1,False
Victreebel,Poison,490,80,105,65,100,70,70,1,False
Tentacool,Poison,335,40,40,35,50,100,70,1,False
Tentacruel,Poison,515,80,70,65,80,120,100,1,False
Rock
19
Geodude,Ground,300,40,80,100,30,30,20,1,False
Graveler,Ground,390,55,95,115,45,45,35,1,False
Golem,Ground,495,80,120,130,55,65,45,1,False
Ponyta,,410,50,85,55,65,65,90,1,False
Rapidash,,500,65,100,70,80,80,105,1,False
Slowpoke,Psychic,315,90,65,65,40,40,15,1,False
Slowbro,Psychic,490,95,75,110,100,80,30,1,False
SlowbroMega Slowbro,Psychic,590,95,75,180,130,80,30,1,False
Magnemite,Steel,325,25,35,70,95,55,45,1,False
Magneton,Steel,465,50,60,95,120,70,70,1,False
Farfetch'd,Flying,352,52,65,55,58,62,60,1,False
Doduo,Flying,310,35,85,45,35,35,75,1,False
Dodrio,Flying,460,60,110,70,60,60,100,1,False
Seel,,325,65,45,55,45,70,45,1,False
Dewgong,Ice,475,90,70,80,70,95,70,1,False
Grimer,,325,80,80,50,40,50,25,1,False
Muk,,500,105,105,75,65,100,50,1,False
Shellder,,305,30,65,100,45,25,40,1,False
Cloyster,Ice,525,50,95,180,85,45,70,1,False
Ghost
34
Gastly,Poison,310,30,35,30,100,35,80,1,False
Haunter,Poison,405,45,50,45,115,55,95,1,False
Gengar,Poison,500,60,65,60,130,75,110,1,False
GengarMega Gengar,Poison,600,60,65,80,170,95,130,1,False
Onix,Ground,385,35,45,160,30,45,70,1,False
Drowzee,,328,60,48,45,43,90,42,1,False
Hypno,,483,85,73,70,73,115,67,1,False
Krabby,,325,30,105,90,25,25,50,1,False
Kingler,,475,55,130,115,50,50,75,1,False
Voltorb,,330,40,30,50,55,55,100,1,False
Electrode,,480,60,50,70,80,80,140,1,False
Exeggcute,Psychic,325,60,40,80,60,45,40,1,False
Exeggutor,Psychic,520,95,95,85,125,65,55,1,False
Cubone,,320,50,50,95,40,50,35,1,False
Marowak,,425,60,80,110,50,80,45,1,False
Hitmonlee,,455,50,120,53,35,110,87,1,False
Hitmonchan,,455,50,105,79,35,110,76,1,False
Lickitung,,385,90,55,75,60,75,30,1,False
Koffing,,340,40,65,95,60,45,35,1,False
Weezing,,490,65,90,120,85,70,60,1,False
Rhyhorn,Rock,345,80,85,95,30,30,25,1,False
Rhydon,Rock,485,105,130,120,45,45,40,1,False
Chansey,,450,250,5,5,35,105,50,1,False
Tangela,,435,65,55,115,100,40,60,1,False
Kangaskhan,,490,105,95,80,40,80,90,1,False
KangaskhanMega Kangaskhan,,590,105,125,100,60,100,100,1,False
Horsea,,295,30,40,70,70,25,60,1,False
Seadra,,440,55,65,95,95,45,85,1,False
Goldeen,,320,45,67,60,35,50,63,1,False
Seaking,,450,80,92,65,65,80,68,1,False
Staryu,,340,30,45,55,70,55,85,1,False
Starmie,Psychic,520,60,75,85,100,85,115,1,False
Mr. Mime,Fairy,460,40,45,65,100,120,90,1,False
Scyther,Flying,500,70,110,80,55,80,105,1,False
Ice
26
Jynx,Psychic,455,65,50,35,115,95,95,1,False
Electabuzz,,490,65,83,57,95,85,105,1,False
Magmar,,495,65,95,57,100,85,93,1,False
Pinsir,,500,65,125,100,55,70,85,1,False
PinsirMega Pinsir,Flying,600,65,155,120,65,90,105,1,False
Tauros,,490,75,100,95,40,70,110,1,False
Magikarp,,200,20,10,55,15,20,80,1,False
Gyarados,Flying,540,95,125,79,60,100,81,1,False
GyaradosMega Gyarados,Dark,640,95,155,109,70,130,81,1,False
Lapras,Ice,535,130,85,80,85,95,60,1,False
Ditto,,288,48,48,48,48,48,48,1,False
Eevee,,325,55,55,50,45,65,55,1,False
Vaporeon,,525,130,65,60,110,95,65,1,False
Jolteon,,525,65,65,60,110,95,130,1,False
Flareon,,525,65,130,60,95,110,65,1,False
Porygon,,395,65,60,70,85,75,40,1,False
Omanyte,Water,355,35,40,100,90,55,35,1,False
Omastar,Water,495,70,60,125,115,70,55,1,False
Kabuto,Water,355,30,80,90,55,45,55,1,False
Kabutops,Water,495,60,115,105,65,70,80,1,False
Aerodactyl,Flying,515,80,105,65,60,75,130,1,False
AerodactylMega Aerodactyl,Flying,615,80,135,85,70,95,150,1,False
Snorlax,,540,160,110,65,65,110,30,1,False
Articuno,Flying,580,90,85,100,95,125,85,1,True
Zapdos,Flying,580,90,90,85,125,90,100,1,True
Moltres,Flying,580,90,100,90,125,85,90,1,True
Dragon
53
Dratini,,300,41,64,45,50,50,50,1,False
Dragonair,,420,61,84,65,70,70,70,1,False
Dragonite,Flying,600,91,134,95,100,100,80,1,False
Mewtwo,,680,106,110,90,154,90,130,1,True
MewtwoMega Mewtwo X,Fighting,780,106,190,100,154,100,130,1,True
MewtwoMega Mewtwo Y,,780,106,150,70,194,120,140,1,True
Mew,,600,100,100,100,100,100,100,1,False
