district,date,actual_rainfall,predicted_rainfall
Alappuzha,8/10/2018,Green,Yellow
Alappuzha,8/11/2018,Green,Red
Alappuzha,8/12/2018,Green,Red
Alappuzha,8/13/2018,Green,Orange
Alappuzha,8/14/2018,Green,Orange
Alappuzha,8/15/2018,Red,Orange
Alappuzha,8/16/2018,Red,Orange
Alappuzha,8/17/2018,Yellow,Orange
Alappuzha,8/18/2018,Green,Yellow
Alappuzha,8/19/2018,Green,Yellow
Alappuzha,8/20/2018,Green,Green
Alappuzha,8/21/2018,Green,Green
Alappuzha,8/22/2018,Green,Green
Alappuzha,8/8/2018,Yellow,Orange
Alappuzha,8/9/2018,Yellow,Yellow
Ernakulam,8/10/2018,Green,Yellow
Ernakulam,8/11/2018,Green,Red
Ernakulam,8/12/2018,Green,Red
Ernakulam,8/13/2018,Yellow,Orange
Ernakulam,8/14/2018,Green,Orange
Ernakulam,8/15/2018,Red,Orange
Ernakulam,8/16/2018,Red,Red
Ernakulam,8/17/2018,Orange,Red
Ernakulam,8/18/2018,Green,Red
Ernakulam,8/19/2018,Green,Yellow
Ernakulam,8/20/2018,Green,Green
Ernakulam,8/21/2018,Green,Green
Ernakulam,8/22/2018,Green,Green
Ernakulam,8/8/2018,Yellow,Orange
Ernakulam,8/9/2018,Yellow,Yellow
Idukki,8/10/2018,Red,Red
Idukki,8/11/2018,Yellow,Red
Idukki,8/12/2018,Green,Red
Idukki,8/13/2018,Orange,Red
Idukki,8/14/2018,Orange,Red
Idukki,8/15/2018,Red,Red
Idukki,8/16/2018,Red,Red
Idukki,8/17/2018,Red,Red
Idukki,8/18/2018,Red,Red
Idukki,8/19/2018,Orange,Yellow
Idukki,8/20/2018,Green,Green
Idukki,8/21/2018,Green,Green
Idukki,8/22/2018,Green,Green
Idukki,8/8/2018,Red,Orange
Idukki,8/9/2018,Red,Yellow
Kannur,8/10/2018,Green,Red
Kannur,8/11/2018,Green,Red
Kannur,8/12/2018,Green,Red
Kannur,8/13/2018,Yellow,Orange
Kannur,8/14/2018,Yellow,Yellow
Kannur,8/15/2018,Red,Red
Kannur,8/16/2018,Yellow,Red
Kannur,8/17/2018,Yellow,Red
Kannur,8/18/2018,Green,Yellow
Kannur,8/19/2018,Green,Green
Kannur,8/20/2018,Green,Green
Kannur,8/21/2018,Green,Green
Kannur,8/22/2018,Green,Green
Kannur,8/8/2018,Orange,Orange
Kannur,8/9/2018,Orange,Yellow
Kasaragod,8/10/2018,Green,Yellow
Kasaragod,8/11/2018,Green,Yellow
Kasaragod,8/12/2018,Green,Orange
Kasaragod,8/13/2018,Yellow,Yellow
Kasaragod,8/14/2018,Orange,Yellow
Kasaragod,8/15/2018,Red,Red
Kasaragod,8/16/2018,Green,Orange
Kasaragod,8/17/2018,Yellow,Yellow
Kasaragod,8/18/2018,Green,Green
Kasaragod,8/19/2018,Green,Green
Kasaragod,8/20/2018,Green,Green
Kasaragod,8/21/2018,Green,Green
Kasaragod,8/22/2018,Green,Green
Kasaragod,8/8/2018,Green,Orange
Kasaragod,8/9/2018,Green,Yellow
Kollam,8/10/2018,Yellow,Yellow
Kollam,8/11/2018,Green,Yellow
Kollam,8/12/2018,Green,Yellow
Kollam,8/13/2018,Green,Green
Kollam,8/14/2018,Green,Green
Kollam,8/15/2018,Red,Yellow
Kollam,8/16/2018,Yellow,Orange
Kollam,8/17/2018,Yellow,Orange
Kollam,8/18/2018,Yellow,Yellow
Kollam,8/19/2018,Green,Green
Kollam,8/20/2018,Green,Green
Kollam,8/21/2018,Green,Green
Kollam,8/22/2018,Green,Green
Kollam,8/8/2018,Yellow,Yellow
Kollam,8/9/2018,Yellow,Green
Kottayam,8/10/2018,Orange,Yellow
Kottayam,8/11/2018,Green,Yellow
Kottayam,8/12/2018,Green,Yellow
Kottayam,8/13/2018,Green,Yellow
Kottayam,8/14/2018,Yellow,Yellow
Kottayam,8/15/2018,Red,Yellow
Kottayam,8/16/2018,Red,Orange
Kottayam,8/17/2018,Red,Orange
Kottayam,8/18/2018,Orange,Yellow
Kottayam,8/19/2018,Green,Yellow
Kottayam,8/20/2018,Green,Green
Kottayam,8/21/2018,Green,Green
Kottayam,8/22/2018,Green,Green
Kottayam,8/8/2018,Orange,Orange
Kottayam,8/9/2018,Red,Yellow
Kozhikkode,8/10/2018,Green,Red
Kozhikkode,8/11/2018,Green,Red
Kozhikkode,8/12/2018,Green,Red
Kozhikkode,8/13/2018,Yellow,Orange
Kozhikkode,8/14/2018,Orange,Yellow
Kozhikkode,8/15/2018,Red,Yellow
Kozhikkode,8/16/2018,Red,Red
Kozhikkode,8/17/2018,Yellow,Red
Kozhikkode,8/18/2018,Green,Yellow
Kozhikkode,8/19/2018,Green,Yellow
Kozhikkode,8/20/2018,Green,Green
Kozhikkode,8/21/2018,Green,Green
Kozhikkode,8/22/2018,Green,Green
Kozhikkode,8/8/2018,Orange,Orange
Kozhikkode,8/9/2018,Red,Yellow
Malappuram,8/10/2018,Yellow,Orange
Malappuram,8/11/2018,Green,Red
Malappuram,8/12/2018,Green,Red
Malappuram,8/13/2018,Yellow,Orange
Malappuram,8/14/2018,Orange,Yellow
Malappuram,8/15/2018,Red,Yellow
Malappuram,8/16/2018,Red,Red
Malappuram,8/17/2018,Yellow,Red
Malappuram,8/18/2018,Orange,Yellow
Malappuram,8/19/2018,Green,Yellow
Malappuram,8/20/2018,Green,Green
Malappuram,8/21/2018,Green,Green
Malappuram,8/22/2018,Green,Green
Malappuram,8/8/2018,Orange,Orange
Malappuram,8/9/2018,Red,Yellow
Palakkad,8/10/2018,Yellow,Red
Palakkad,8/11/2018,Green,Red
Palakkad,8/12/2018,Green,Red
Palakkad,8/13/2018,Yellow,Orange
Palakkad,8/14/2018,Orange,Yellow
Palakkad,8/15/2018,Red,Yellow
Palakkad,8/16/2018,Red,Red
Palakkad,8/17/2018,Orange,Red
Palakkad,8/18/2018,Yellow,Yellow
Palakkad,8/19/2018,Green,Yellow
Palakkad,8/20/2018,Green,Green
Palakkad,8/21/2018,Green,Green
Palakkad,8/22/2018,Green,Green
Palakkad,8/8/2018,Yellow,Orange
Palakkad,8/9/2018,Red,Yellow
Pathanamthitta,8/10/2018,Yellow,Yellow
Pathanamthitta,8/11/2018,Green,Orange
Pathanamthitta,8/12/2018,Green,Yellow
Pathanamthitta,8/13/2018,Yellow,Orange
Pathanamthitta,8/14/2018,Orange,Yellow
Pathanamthitta,8/15/2018,Red,Yellow
Pathanamthitta,8/16/2018,Red,Orange
Pathanamthitta,8/17/2018,Red,Red
Pathanamthitta,8/18/2018,Orange,Yellow
Pathanamthitta,8/19/2018,Green,Yellow
Pathanamthitta,8/20/2018,Green,Green
Pathanamthitta,8/21/2018,Green,Green
Pathanamthitta,8/22/2018,Green,Green
Pathanamthitta,8/8/2018,Yellow,Yellow
Pathanamthitta,8/9/2018,Red,Yellow
Thiruvananthapuram,8/10/2018,Green,Yellow
Thiruvananthapuram,8/11/2018,Green,Green
Thiruvananthapuram,8/12/2018,Green,Green
Thiruvananthapuram,8/13/2018,Green,Green
Thiruvananthapuram,8/14/2018,Green,Green
Thiruvananthapuram,8/15/2018,Red,Yellow
Thiruvananthapuram,8/16/2018,Yellow,Orange
Thiruvananthapuram,8/17/2018,Green,Yellow
Thiruvananthapuram,8/18/2018,Green,Green
Thiruvananthapuram,8/19/2018,Green,Green
Thiruvananthapuram,8/20/2018,Green,Green
Thiruvananthapuram,8/21/2018,Green,Green
Thiruvananthapuram,8/22/2018,Green,Green
Thiruvananthapuram,8/8/2018,Green,Yellow
Thiruvananthapuram,8/9/2018,Green,Green
Thrissur,8/10/2018,Green,Yellow
Thrissur,8/11/2018,Green,Yellow
Thrissur,8/12/2018,Green,Yellow
Thrissur,8/13/2018,Green,Yellow
Thrissur,8/14/2018,Green,Yellow
Thrissur,8/15/2018,Red,Yellow
Thrissur,8/16/2018,Red,Orange
Thrissur,8/17/2018,Red,Red
Thrissur,8/18/2018,Green,Yellow
Thrissur,8/19/2018,Green,Yellow
Thrissur,8/20/2018,Green,Green
Thrissur,8/21/2018,Green,Green
Thrissur,8/22/2018,Green,Green
Thrissur,8/8/2018,Orange,Orange
Thrissur,8/9/2018,Green,Yellow
Wayanad,8/10/2018,Yellow,Red
Wayanad,8/11/2018,Green,Red
Wayanad,8/12/2018,Green,Red
Wayanad,8/13/2018,Yellow,Red
